Date.1,year,month,day,"product1 country1, EXW"
2019-06-25,2019.0,6.0,25.0,1079.988
2019-06-24,2019.0,6.0,24.0,1075.22392
2019-06-21,2019.0,6.0,21.0,1040.57968
2019-06-20,2019.0,6.0,20.0,1035.30664
2019-06-19,2019.0,6.0,19.0,1027.62784
2019-06-18,2019.0,6.0,18.0,1020.70968
2019-06-17,2019.0,6.0,17.0,1023.55656
2019-06-14,2019.0,6.0,14.0,1047.30576
2019-06-13,2019.0,6.0,13.0,1044.962
2019-06-12,2019.0,6.0,12.0,1048.19028
2019-06-11,2019.0,6.0,11.0,1046.64588
2019-06-10,2019.0,6.0,10.0,1046.054
2019-06-06,2019.0,6.0,6.0,1060.6682
2019-06-05,2019.0,6.0,5.0,1060.7534
2019-06-04,2019.0,6.0,4.0,1058.42472
2019-06-03,2019.0,6.0,3.0,1061.222
2019-05-31,2019.0,5.0,31.0,1075.5312
2019-05-30,2019.0,5.0,30.0,1074.5376
2019-05-29,2019.0,5.0,29.0,1075.1424
2019-05-28,2019.0,5.0,28.0,1082.59728
2019-05-27,2019.0,5.0,27.0,1082.1846
2019-05-24,2019.0,5.0,24.0,1077.32968
2019-05-23,2019.0,5.0,23.0,1078.43434
2019-05-22,2019.0,5.0,22.0,1075.6536
2019-05-21,2019.0,5.0,21.0,1068.39328
2019-05-20,2019.0,5.0,20.0,1062.11056
2019-05-17,2019.0,5.0,17.0,1067.77808
2019-05-16,2019.0,5.0,16.0,1065.6382
2019-05-15,2019.0,5.0,15.0,1059.5946
2019-05-14,2019.0,5.0,14.0,1060.92894
2019-05-13,2019.0,5.0,13.0,1076.3648
2019-05-10,2019.0,5.0,10.0,1083.30756
2019-05-09,2019.0,5.0,9.0,1089.34344
2019-05-08,2019.0,5.0,8.0,1096.152
2019-05-07,2019.0,5.0,7.0,1098.8304
2019-05-06,2019.0,5.0,6.0,1102.1064
2019-04-30,2019.0,4.0,30.0,1093.5399
2019-04-29,2019.0,4.0,29.0,1091.07472
2019-04-26,2019.0,4.0,26.0,1083.74988
2019-04-25,2019.0,4.0,25.0,1083.42916
2019-04-24,2019.0,4.0,24.0,1083.64096
2019-04-23,2019.0,4.0,23.0,1091.0704
2019-04-22,2019.0,4.0,22.0,1098.0024
2019-04-19,2019.0,4.0,19.0,1086.32376
2019-04-18,2019.0,4.0,18.0,1090.80864
2019-04-17,2019.0,4.0,17.0,1094.04376
2019-04-16,2019.0,4.0,16.0,1100.45576
2019-04-15,2019.0,4.0,15.0,1100.97844
2019-04-12,2019.0,4.0,12.0,1089.977
2019-04-11,2019.0,4.0,11.0,1090.2326
2019-04-10,2019.0,4.0,10.0,1090.7083
2019-04-09,2019.0,4.0,9.0,1089.9344
2019-04-08,2019.0,4.0,8.0,1077.86382
2019-04-04,2019.0,4.0,4.0,1064.12844
2019-04-03,2019.0,4.0,3.0,1062.65448
2019-04-02,2019.0,4.0,2.0,1061.2932
2019-04-01,2019.0,4.0,1.0,1066.9906
2019-03-29,2019.0,3.0,29.0,1057.6224
2019-03-28,2019.0,3.0,28.0,1056.47568
2019-03-27,2019.0,3.0,27.0,1054.9342
2019-03-26,2019.0,3.0,26.0,1061.0586
2019-03-25,2019.0,3.0,25.0,1063.15272
2019-03-22,2019.0,3.0,22.0,1067.194
2019-03-21,2019.0,3.0,21.0,1074.65332
2019-03-20,2019.0,3.0,20.0,1087.60848
2019-03-19,2019.0,3.0,19.0,1087.6722
2019-03-18,2019.0,3.0,18.0,1084.6223
2019-03-15,2019.0,3.0,15.0,1074.887
2019-03-14,2019.0,3.0,14.0,1073.5086
2019-03-13,2019.0,3.0,13.0,1067.06
2019-03-12,2019.0,3.0,12.0,1056.22112
2019-03-11,2019.0,3.0,11.0,1053.6651
2019-03-08,2019.0,3.0,8.0,1070.09568
2019-03-07,2019.0,3.0,7.0,1076.182
2019-03-06,2019.0,3.0,6.0,1077.071
2019-03-05,2019.0,3.0,5.0,1080.35592
2019-03-04,2019.0,3.0,4.0,1079.7171
2019-03-01,2019.0,3.0,1.0,1076.71242
2019-02-28,2019.0,2.0,28.0,1073.85408
2019-02-27,2019.0,2.0,27.0,1069.33632
2019-02-26,2019.0,2.0,26.0,1066.75112
2019-02-25,2019.0,2.0,25.0,1066.82404
2019-02-22,2019.0,2.0,22.0,1054.44028
2019-02-21,2019.0,2.0,21.0,1047.19538
2019-02-20,2019.0,2.0,20.0,1038.142
2019-02-19,2019.0,2.0,19.0,1037.9312
2019-02-18,2019.0,2.0,18.0,1045.90644
2019-02-15,2019.0,2.0,15.0,1049.29984
2019-02-14,2019.0,2.0,14.0,1050.59328
2019-02-13,2019.0,2.0,13.0,1059.92016
2019-02-12,2019.0,2.0,12.0,1071.49856
2019-02-11,2019.0,2.0,11.0,1076.75744
2019-02-01,2019.0,2.0,1.0,1056.34736
2019-01-31,2019.0,1.0,31.0,1054.37854
2019-01-30,2019.0,1.0,30.0,1051.31212
2019-01-29,2019.0,1.0,29.0,1050.63984
2019-01-28,2019.0,1.0,28.0,1049.65886
2019-01-25,2019.0,1.0,25.0,1043.49172
2019-01-24,2019.0,1.0,24.0,1034.3408
2019-01-23,2019.0,1.0,23.0,1032.2192
2019-01-22,2019.0,1.0,22.0,1042.88804
2019-01-21,2019.0,1.0,21.0,1036.2584
2019-01-18,2019.0,1.0,18.0,1031.53312
2019-01-17,2019.0,1.0,17.0,1032.94596
2019-01-16,2019.0,1.0,16.0,1032.97976
2019-01-15,2019.0,1.0,15.0,1041.22788
2019-01-14,2019.0,1.0,14.0,1041.65754
2019-01-11,2019.0,1.0,11.0,1040.21736
2019-01-10,2019.0,1.0,10.0,1034.75904
2019-01-09,2019.0,1.0,9.0,1025.1744
2019-01-08,2019.0,1.0,8.0,1019.23668
2019-01-07,2019.0,1.0,7.0,1011.41856
2019-01-04,2019.0,1.0,4.0,993.3594
